"size","decay","mse"
4,0,45.0004541745051
5,0,15.4301815902415
6,0,41.3117169398641
7,0,44.5865720059604
4,0.01,0.705516297790601
5,0.01,0.700786825023983
6,0.01,0.705386164894444
7,0.01,0.706158771369659
4,0.02,0.625265284323762
5,0.02,0.625251358848521
6,0.02,0.625451855808341
7,0.02,0.625632726933606
4,0.03,0.575591136117057
5,0.03,0.575913399589861
6,0.03,0.57589873630153
7,0.03,0.575484987771984
4,0.04,0.547291739851809
5,0.04,0.546814952645969
6,0.04,0.546428264816145
7,0.04,0.546106479779102
4,0.05,0.531737027764416
5,0.05,0.531503506478442
6,0.05,0.53126084559853
7,0.05,0.531132156161901
4,0.06,0.526652744308436
5,0.06,0.526174180993914
6,0.06,0.525760781673832
7,0.06,0.52541177123946
4,0.07,0.525141690941731
5,0.07,0.524894957838135
6,0.07,0.524674927937151
7,0.07,0.52447365254373
4,0.08,0.524347692917818
5,0.08,0.524210583559744
6,0.08,0.524064399293399
7,0.08,0.523930409342577
4,0.09,0.523866688447523
5,0.09,0.523778346299189
6,0.09,0.52367902990622
7,0.09,0.52357960165527
4,0.1,0.523541820490463
5,0.1,0.52347997322971
6,0.1,0.523401607599817
7,0.1,0.523330564745489
4,0.11,0.523309423738533
5,0.11,0.52326044694116
6,0.11,0.523212554937585
7,0.11,0.523143919563247
4,0.12,0.523125632182244
5,0.12,0.523093359746724
6,0.12,0.523049513112497
7,0.12,0.522999722044529
4,0.13,0.52298251115007
5,0.13,0.522961174287712
6,0.13,0.52292968678473
7,0.13,0.522879477701089
4,0.14,0.522866233572604
5,0.14,0.52284816083818
6,0.14,0.522816687829418
7,0.14,0.522782606589257
4,0.15,0.522769404741378
5,0.15,0.522756454714623
6,0.15,0.522731849607843
7,0.15,0.522697549308359
4,0.16,0.522686087495304
5,0.16,0.52267736968358
6,0.16,0.522657088186622
7,0.16,0.522627150399366
4,0.17,0.522614701527633
5,0.17,0.522608653403693
6,0.17,0.522588289165751
7,0.17,0.522567414206852
4,0.18,0.522551469605303
5,0.18,0.522549088227966
6,0.18,0.522531742501576
7,0.18,0.522514207195639
4,0.19,0.522494365710031
5,0.19,0.522494270686172
6,0.19,0.522480848174751
7,0.19,0.522461849840152
4,0.2,0.522448400000793
5,0.2,0.522446107757461
6,0.2,0.522436832702152
7,0.2,0.522418651413766
4,0.21,0.522400371433261
5,0.21,0.522402174549124
6,0.21,0.522394200092931
7,0.21,0.522378083353582
4,0.22,0.522360138015221
5,0.22,0.522361854390287
6,0.22,0.522356260619677
7,0.22,0.522344161597518
4,0.23,0.522325062977616
5,0.23,0.522330011867918
6,0.23,0.522321484417878
7,0.23,0.522310563534597
4,0.24,0.522291592295085
5,0.24,0.522297912979222
6,0.24,0.522291139140343
